# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-07-05 18:11:40 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50059000 LAGO LOIZA AT DAMSITE NR TRUJILLO ALTO, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50059000
#            TS   parameter     statistic     Description
#        123596       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	123596_62614_32400	123596_62614_32400_cd
5s	15s	20d	14n	10s
USGS	50059000	2015-01-01	133.77	A
USGS	50059000	2015-01-02	133.76	A
USGS	50059000	2015-01-03	133.72	A
USGS	50059000	2015-01-04	133.64	A
USGS	50059000	2015-01-05	133.60	A
USGS	50059000	2015-01-06	133.53	A
USGS	50059000	2015-01-07	133.45	A
USGS	50059000	2015-01-08	133.35	A
USGS	50059000	2015-01-09	133.27	A
USGS	50059000	2015-01-10	133.21	A
USGS	50059000	2015-01-11	133.15	A
USGS	50059000	2015-01-12	133.13	A
USGS	50059000	2015-01-13	133.16	A
USGS	50059000	2015-01-14	133.26	A
USGS	50059000	2015-01-15	133.27	A
USGS	50059000	2015-01-16	133.21	A
USGS	50059000	2015-01-17	133.52	A
USGS	50059000	2015-01-18	134.20	A
USGS	50059000	2015-01-19	134.20	A
USGS	50059000	2015-01-20	134.12	A
USGS	50059000	2015-01-21	134.04	A
USGS	50059000	2015-01-22	134.14	A
USGS	50059000	2015-01-23	133.61	A
USGS	50059000	2015-01-24	133.73	A
